"File","NavText","Template"
"service-detail.html","ABOUT","template-003-fashion-boutique"
"service-detail.html","COLLECTION","template-003-fashion-boutique"
"service-detail.html","LOOKBOOK","template-003-fashion-boutique"
"service-detail.html","GALLERY","template-003-fashion-boutique"
"service-detail.html","REVIEWS","template-003-fashion-boutique"
"service-detail.html","FAQ","template-003-fashion-boutique"
"service-detail.html","APPOINTMENT","template-003-fashion-boutique"
"service-detail.html","PROCESS","template-003-fashion-boutique"
"service-detail.html","JOURNAL","template-003-fashion-boutique"
"service-detail.html","CONTACT","template-003-fashion-boutique"
"services.html","ABOUT","template-003-fashion-boutique"
"services.html","COLLECTION","template-003-fashion-boutique"
"services.html","LOOKBOOK","template-003-fashion-boutique"
"services.html","GALLERY","template-003-fashion-boutique"
"services.html","REVIEWS","template-003-fashion-boutique"
"services.html","FAQ","template-003-fashion-boutique"
"services.html","APPOINTMENT","template-003-fashion-boutique"
"services.html","PROCESS","template-003-fashion-boutique"
"services.html","JOURNAL","template-003-fashion-boutique"
"services.html","CONTACT","template-003-fashion-boutique"
"about.html","Menu","template-004-coffee-shop"
"about.html","FAQ","template-004-coffee-shop"
"blog-detail.html","Menu","template-004-coffee-shop"
"blog-detail.html","FAQ","template-004-coffee-shop"
"blog.html","Menu","template-004-coffee-shop"
"blog.html","FAQ","template-004-coffee-shop"
"booking.html","Menu","template-004-coffee-shop"
"booking.html","FAQ","template-004-coffee-shop"
"contact.html","Menu","template-004-coffee-shop"
"contact.html","FAQ","template-004-coffee-shop"
"faq.html","Menu","template-004-coffee-shop"
"faq.html","FAQ","template-004-coffee-shop"
"index.html","Menu","template-004-coffee-shop"
"index.html","FAQ","template-004-coffee-shop"
"portfolio.html","Menu","template-004-coffee-shop"
"portfolio.html","FAQ","template-004-coffee-shop"
"process.html","Menu","template-004-coffee-shop"
"process.html","FAQ","template-004-coffee-shop"
"reviews.html","Menu","template-004-coffee-shop"
"reviews.html","FAQ","template-004-coffee-shop"
"service-detail.html","Menu","template-004-coffee-shop"
"service-detail.html","FAQ","template-004-coffee-shop"
"services.html","Menu","template-004-coffee-shop"
"services.html","FAQ","template-004-coffee-shop"
"about.html","ABOUT","template-005-interior-design"
"about.html","SERVICES","template-005-interior-design"
"about.html","DETAIL","template-005-interior-design"
"about.html","WORKS","template-005-interior-design"
"about.html","REVIEWS","template-005-interior-design"
"about.html","FAQ","template-005-interior-design"
"about.html","BOOKING","template-005-interior-design"
"about.html","PROCESS","template-005-interior-design"
"about.html","BLOG","template-005-interior-design"
"about.html","CONTACT","template-005-interior-design"
"blog-detail.html","ABOUT","template-005-interior-design"
"blog-detail.html","SERVICES","template-005-interior-design"
"blog-detail.html","DETAIL","template-005-interior-design"
"blog-detail.html","WORKS","template-005-interior-design"
"blog-detail.html","REVIEWS","template-005-interior-design"
"blog-detail.html","FAQ","template-005-interior-design"
"blog-detail.html","BOOKING","template-005-interior-design"
"blog-detail.html","PROCESS","template-005-interior-design"
"blog-detail.html","BLOG","template-005-interior-design"
"blog-detail.html","CONTACT","template-005-interior-design"
